,#,Вилоят,Туман(шахар),Мутахассислик,Корхона номи,СТИР(ИНН),Маош,Ставка,Бўш иш ўринлари сони,Вакансия эълон қилинган сана
0,1,Тошкент шаҳри,Шайхонтохур тумани,Автомобилларни таъмирловчи чилангар / Слесарь по ремонту автомобилей,O`LATKARANTIN VA YUQUMLI KASA,200936048,807603,1.0,1,2019-10-31
1,2,Тошкент шаҳри,Олмазор тумани,Умумий амалиёт врачи / Врач общей практики,17-(42)-SON OILAVIY POLIKLINIK,205172592,1560535,1.0,1,2019-10-31
2,3,Фарғона вилояти,Бешариқ тумани,ўт ёқувчи / Истопник,17-МАКТАБГАЧА ТАЪЛИМ МУАССАСА,207091320,610000,1.0,1,2019-10-31
3,4,Тошкент шаҳри,Шайхонтохур тумани,Токарь / Токарь,O`LATKARANTIN VA YUQUMLI KASA,200936048,797743,1.0,1,2019-10-31
4,5,Тошкент шаҳри,Олмазор тумани,Умумий амалиёт врачи / Врач общей практики,17-(42)-SON OILAVIY POLIKLINIK,205172592,2184749,1.0,1,2019-10-31
5,6,Тошкент шаҳри,Юнусобод тумани,Тарбиячи / Воспитатель,NAFISA EDUCATION NTM,304611921,800000,1.0,1,2019-10-31
6,7,Фарғона вилояти,Бешариқ тумани,кўча тозаловчи / Дворник,17-МАКТАБГАЧА ТАЪЛИМ МУАССАСА,207091320,610000,1.0,1,2019-10-31
7,8,Тошкент шаҳри,Шайхонтохур тумани,Фуқаро муҳофазаси бўйича муҳандис / Инженер по гражданской защите,O`LATKARANTIN VA YUQUMLI KASA,200936048,835501,1.0,1,2019-10-31
8,9,Тошкент шаҳри,Олмазор тумани,Умумий амалиёт врачи / Врач общей практики,17-(42)-SON OILAVIY POLIKLINIK,205172592,448654,0.25,1,2019-10-31
9,10,Тошкент шаҳри,Олмазор тумани,Умумий амалиёт врачи / Врач общей практики,17-(42)-SON OILAVIY POLIKLINIK,205172592,390134,0.25,1,2019-10-31
10,11,Фарғона вилояти,Тошлоқ тумани,Кутубхоначи / Библиотекарь,"ZARKENT ""AGROSANOAT"" KASB-HUNAR KOLLEJI",200186293,600000,0.75,1,2019-10-31
11,12,Самарқанд вилояти,Нуробод тумани,ўқитувчи / Учитель,32-УМУМТАЪЛИМ МАКТАБ НУРОБОД Т,206898922,1500000,1.0,1,2019-10-31
12,13,Сирдарё вилояти,Сайхунобод тумани,Енгил автомобил ҳайдовчиси / Водитель автомобиля (легкового),SAYXUNOBOD TUMANI IRRIGATSIY,305089423,634881,1.0,1,2019-10-31
13,14,Тошкент шаҳри,Сергели тумани,Тарбиячи-услубчи / Воспитатель-методист,600-SONLI MAKTABGACHA TALIM,203283210,1124916,1.0,1,2019-10-31
